SimFin ID,Company,Ticker,ISIN,Revenues,EBIT,Net income,FCF,P/E,ROA,Price Close,MCAP,Volume (SMA 2m),COGS,Avg. shares basic,Gross Profit,Op. Exp.,SG&A,R&D,EBITDA,ST debt,Cur. assets,Debt,Equity,Chg. WC,Op. CF,Inv. CF,Net Cash from Equity,Fin. CF,Gross Margin,Operating Margin,Net Margin,ROE,FCF/Net inc.
62329,AES CORP,AES,US00130H1059,10440000000,2876000000,-135000000,1509000000,-121.31444,-0.00389,24.6,16389930416,5345291.16667,-7386000000,665750000,3054000000,-178000000,-178000000,,3943000000,1345000000,5530000000,20009000000,6546000000,-621000000,2539000000,-2079000000,1015000000,-554000000,0.29253,0.27548,-0.01293,-0.02062,-11.17778
1242005,"Affirm Holdings, Inc.",AFRM,US00827B1061,669624000,163701000,-86310000,82438000,-42.41004,-0.03187,116.28,31613604535,8348875.38095,,57632332,,-505923000,-209895000,,175672000,,584973000,1656449000,977687000,-53748000,-193130000,-1022033000,1785960000,2577830000,,0.24447,-0.12889,-0.08828,-0.95514
62581,AFLAC INC,AFL,US0010551028,23011000000,5594000000,5806000000,,6.48705,0.03595,53.99,36695233964,2605651.57143,,697607250,,,,,,,,8121000000,33735000000,-1549000000,5685000000,-3338000000,-2024000000,-2408000000,,0.2431,0.25231,0.17211,
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,6142000000,1251000000,990000000,1523000000,53.58758,0.09437,173.94,52655580872,1636870,-2847000000,305750000,3295000000,-2044000000,-1617000000,-427000000,1564000000,130000000,3632000000,2858000000,4946000000,-93000000,1421000000,-717000000,-846000000,-641000000,0.53647,0.20368,0.16119,0.20016,1.53838
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,1917714000,519556000,310916000,,29.31865,0.05916,53.23,9146883510,1373522.45238,-897712000,171250000,1020002000,-500446000,-119085000,-109500000,,,901434000,842955000,3385354000,-20465000,696007000,-376156000,20711000,-202606000,0.53188,0.27092,0.16213,0.09184,
1214552,"Airbnb, Inc.",ABNB,US0090661010,4423727000,-3030008000,-4908951000,-1804773000,-17.63752,-0.31702,166.59,104725604552,6485246.45238,-986014000,519729500,3437713000,-6467721000,-2589612000,-2988910000,-2894144000,,14095982000,1980455000,3393201000,1119632000,1482227000,-188369000,3772595000,4637698000,0.77711,-0.68494,-1.10969,-1.4467,0.36765
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,3334664000,729443000,584185000,761672000,30.50453,0.07375,109.49,17848924908,1130272.11905,-1213973000,162922250,2120691000,-1391248000,-1053226000,-293301000,1245230000,,2253252000,1941113000,4476657000,-32610000,1320992000,-1038527000,-179032000,-281257000,0.63595,0.21875,0.17519,0.1305,1.30382
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,3833000000,-155890503,-612000000,312074241,-11.51609,-0.04176,56.92,7085503658,1714741.38095,-3465956365,124243500,368438443,-523753986,-116000000,,-351819184,1133914606,4771000000,4662782634,3324000000,3001301,452000000,-1539000000,0,609000000,0.09586,-0.04067,-0.15967,-0.18412,-0.50993
132877,ALBEMARLE CORP,ALB,US0126531013,3229202000,538357000,703213000,192721000,34.83762,0.06513,226.85,26478346228,1359997.28571,-2197622000,110613000,1031580000,-493223000,-435704000,-57519000,782489000,623000,2151354000,2044417000,6365771000,77989000,976850000,-525201000,1497851000,-392318000,0.31945,0.16672,0.21777,0.11047,0.27406
1077533,"Albertsons Companies, Inc.",ACI,US0130911037,68208200000,1264000000,708800000,1613000000,20.32536,0.02647,30.1,14042074801,1625461.42857,-48374200000,478625000,19834000000,-18570000000,-18570000000,,2845000000,825200000,7377499999,14435500000,3297500000,351800000,2240700000,-1377900000,-201200000,-1070300000,0.29079,0.01853,0.01039,0.21495,2.27568
367153,Alcoa Corp,AA,US0138721065,10460000000,1090000000,431000000,1953000000,21.07281,0.02985,48.83,9117769298,7258105.69048,-8460000000,186500000,2000000000,-910000000,-208000000,-28000000,1764000000,1000000,4201000000,2217000000,5418000000,-443000000,116000000,353000000,15000000,208000000,0.1912,0.10421,0.0412,0.07955,4.53132
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,105799365785,15060379071,22170270382,27579941433,18.96555,0.08507,160.05,433175325000,27878877.07143,-62127290207,2627125000,43672075578,-28611696506,-20169447287,-8442249219,22126905694,2071894609,99201764962,22998384806,167089040931,7449876363,34188188858,-36018355681,-114016679,4437063054,0.41278,0.14235,0.20955,0.13269,1.24401
10383340,"Alight, Inc.",ALIT,US01626W1018,-647000000,-3600543,113981821,-117557316,48.44917,0.11,12.36,5522324536,5275703.66667,450000000,446790011,-197000000,193399457,134399457,,-220600543,,152466,0,869379243,48912449,-131985495,-912000000,3025000,598000046,0.30448,0.00556,-0.17617,0.13111,-1.03137
68840,ALLSTATE CORP,ALL,US0200021014,48615000000,9390000000,3911000000,,10.22091,,131.03,39222347765,1435425.59524,,305075000,,,,,,,,0,18067000000,-2160000000,5531000000,-2640000000,-2101000000,-2624000000,,0.19315,0.08045,,
510248,Ally Financial Inc.,ALLY,US02005N1000,10755000000,6121000000,1085000000,,,,52.47,19449609665,2828509.69048,,375629000,,,,,7671000000,46027000000,,0,20407000000,-1661000000,4199000000,-8569000000,2324000000,-1158000000,,0.56913,0.10088,,
18,Alphabet (Google),GOOG,US02079K1079,220265000000,62662000000,62929000000,65163000000,30.45967,0.18763,141.46,1896027403156,20701891.42857,-97527000000,13486045000,122738000000,-60076000000,-31038000000,-29038000000,74745000000,,175697000000,14328000000,237565000000,354000000,80859000000,-36935000000,-39992000000,-38321000000,0.55723,0.28448,0.2857,0.26489,1.0355
997777,"Altice USA, Inc.",ATUS,US02156K1034,9964236000,2402308000,797573000,3068466000,17.46329,0.02379,25.65,11794244157,4535713.52381,-3316789000,510311750,6647447000,-4245139000,,,4295494000,1296745000,800567000,26989068000,-1348994000,-384780000,2929788000,-1572085000,-4149964000,-3087778000,0.66713,0.24109,0.08004,-0.59124,3.84725
133574,"ALTRIA GROUP, INC.",MO,US02209S1033,26399000000,11613000000,4545000000,12093000000,19.86914,0.10239,48.61,89959511916,5978249.69048,-11210000000,1855250000,15189000000,-3576000000,-2254000000,,11868000000,,4184000000,28241000000,3300000000,-2123000000,6118000000,-89000000,-650000000,-8996000000,0.57536,0.4399,0.17217,1.37727,2.66073
62747,AMAZON COM INC,AMZN,US0231351067,443298000000,29634000000,29438000000,10154000000,58.98818,0.0817,173.13,1746271368274,61984682.85714,-262969000000,10050000000,180329000000,-150695000000,-34349000000,,59321000000,,140848000000,50279000000,114803000000,-6148000000,59323000000,-63659000000,,6246000000,0.40679,0.06685,0.06641,0.25642,0.34493
1100848,"AMC ENTERTAINMENT HOLDINGS, INC.",AMC,US00165C1045,875000000,-1673800000,-2762100000,-1128200000,-4.24264,-0.24381,442,19902386608,8380215.47619,-238600000,26512650,636400000,-2310200000,,,-1197900000,20000000,2012300000,5500400000,-1404700001,137100000,-1260300000,-25600000,2065900000,2611299999,0.72731,-1.91291,-3.15669,1.96633,0.40846
6475603,Amcor plc,AMCR,JE00BJ1F3079,12861000000,1340000000,939000000,1686000000,19.57332,0.05463,11.85,18130500000,6100844.42857,-10129000000,1551000000,2732000000,-1392000000,-1292000000,-100000000,1914000000,103000000,5266000000,6289000000,4821000000,-47000000,1461000000,-233000000,22000000,-1179000000,0.21243,0.10419,0.07301,0.19477,1.79553
68568,American Airlines Group Inc.,AAL,US02376R1023,18687000000,-6260000000,-5808000000,,-2.11473,-0.08015,19.73,12774343006,29503030.97619,-11847000000,589941000,6840000000,-13100000000,-593000000,,,2798000000,22647000000,39999000000,-7667000000,,-1823000000,-8417000000,447000000,10238000000,0.36603,-0.33499,-0.3108,0.75753,
445654,American Capital Agency Corp,AGNC,US00123Q1040,1405000000,2001000000,1901000000,,4.60675,0.02533,15.98,8387902000,5508029.85714,-160000000,539600000,1245000000,-92000000,-58000000,,,,74273000000,148000000,10668000000,-33000000,1742000000,20017000000,-470000000,-22354000000,0.88612,1.4242,1.35302,0.1782,
66050,AMERICAN ELECTRIC POWER CO INC,AEP,US0255371017,15784600000,3133600000,2337300000,5049600000,17.87155,0.02771,84.1,42029008640,2599465.64286,-4938500000,496684560,10846100000,-7712500000,,,5868300000,5586500000,4605800000,36245800000,21629900000,-915800000,3130600000,-6216100000,300900000,2940500000,0.68713,0.19852,0.14807,0.10806,2.16044
413080,AMERICAN EXPRESS CO,AXP,US0258161092,37409000000,9155000000,7026000000,15294000000,18.76354,0.03758,163.92,131677404647,3777123.5,,802750000,,,,,10821000000,1864000000,,39227000000,25539000000,3742000000,11145000000,-8505000000,-1345000000,-13704000000,,0.24473,0.18782,0.27511,2.17677
445723,American Homes 4 Rent,AMH,US02665T3068,1236371000,265434000,99949000,,124.44393,0.01003,39.53,12541006544,1794242.40476,-61695000,314648274,1174676000,-909242000,-53756000,,622118000,,183536000,3428314000,6173505000,9272000,526683000,-905617000,612840000,401225000,0.9501,0.21469,0.08084,0.01619,
251769,AMERICAN INTERNATIONAL GROUP INC,AIG,US0268747849,45032000000,6086000000,4181000000,,11.17213,0.00699,53.81,46176548215,4261405.52381,,868066509,,,,,10016000000,9566000000,,9566000000,66908000000,-3309000000,2523000000,-4944000000,-592000000,1618000000,,0.13515,0.09285,0.06249,
68339,AMERICAN TOWER CORP /MA/,AMT,US03027X1000,8592799999,3137299999,2220799999,3712099999,58.72854,0.03765,293.75,136871637500,1327786.2381,-2357400000,445822250,6235399999,-3098100000,-762100000,,5169699999,2636000000,3356000000,35583600000,7032800000,-459100000,4137200000,-13651400000,2452200000,9309100000,0.72565,0.36511,0.25845,0.31578,1.67151
6480942,"Americold Realty Trust, Inc.",COLD,US03064D1081,2310638000,163697000,-59417000,-27548000,-133.60524,-0.00759,34.64,8771298320,2340586.19048,,229169250,,-1458415000,-163032000,,437255000,2566269000,316077000,2963687000,3866175000,-40211000,257453000,-2233322000,1458863000,1951068000,,0.07084,-0.02571,-0.01537,0.46364
65735,AMGEN INC,AMGN,US0311621009,25484000000,8923000000,5746000000,11424000000,22.24916,0.09613,219.38,124958848000,2471858.66667,-6285000000,578750000,19199000000,-10276000000,-5936000000,-4340000000,12393000000,4324000000,19099000000,32782000000,8247000000,-1062000000,9556000000,-2122000000,-4422000000,-9949000000,0.75337,0.35014,0.22547,0.69674,1.98817
693881,"AMKOR TECHNOLOGY, INC.",AMKR,US0316521006,5457749000,375580000,464440000,121502000,14.20967,0.08342,27.26,6656448943,1219066.64286,-4399809000,242789250,1057940000,-682360000,-453799000,-228561000,912931000,134912000,2371042000,1051319000,2583070000,-158898000,983962000,-525087000,17611000,-513800000,0.19384,0.06882,0.0851,0.1798,0.26161
65820,AMPHENOL CORP /DE/,APH,US0320951017,9780400000,1971999999,1402999999,2150199999,32.28759,0.09637,37.86,45251462318,4423548.95238,-6709200001,1196500000,3071199999,-1099200000,-1099200000,,2315799999,526100000,6491200000,5236300000,5778300000,-227700000,1548300000,-1906500000,-367700000,294800001,0.31402,0.20163,0.14345,0.2428,1.53257
65917,ANALOG DEVICES INC,ADI,US0326541051,6505013000,2046241000,1701261000,2823043000,37.21045,0.07861,171.52,63261192975,5163028.64286,-2078737000,369080500,4426276000,-2380035000,-763078000,-1401388000,2844128000,1324677000,3090455000,5149496000,12263963000,-14942000,2466943000,-214022000,-450373000,-1866132000,0.68044,0.31456,0.26153,0.13872,1.65938
925650,"Anaplan, Inc.",PLAN,US03272L1089,511549000,-176053000,-181453000,-174186000,-52.22208,-0.24872,65.67,9599813969,1695014.19048,-127845000,143238750,383704000,-559757000,-438162000,-121595000,-148445000,,500614000,0,261892000,-20873000,352000,-18270000,25207000,23263000,0.75008,-0.34416,-0.35471,-0.69285,0.95995
11790995,Anheuser-Busch InBev SA/NV,BUD,US03524A1088,46881000000,12516000000,2202000000,13795758760,52.22191,0.00816,57.96,114992640000,1579058,-19634000000,1984000000,27247000000,-14731000000,-15369000000,,18022421247,3680146470,31624693534,119355521590,93435889856,-1954443159,12418810065,7224826055,,-9663889018,0.58119,0.26697,0.04697,0.02357,6.2651
466098,ANTERO RESOURCES Corp,AR,US03674X1063,3380961000,-1011264000,-1004749000,-369175000,-4.74709,-0.0782,16.71,5144658090,6638131.57143,,285436000,,-3777826000,-765258000,-6499000,-178425000,,550440000,2415163000,5718414000,-28607000,1291272000,-383331000,0,-903400000,,-0.29911,-0.29718,-0.1757,0.36743
67471,Aon plc,AON,IE00BLP1HW54,11761000000,3202000000,2091000000,4164000000,31.67214,0.06047,289.23,65263954118,2200011.78571,-7121000000,228975000,4640000000,-1438000000,-1235000000,,3451000000,13000000,21276000000,7285000000,4567000000,224000000,2911000000,286000000,-275000000,-3006000000,0.39452,0.27226,0.17779,0.45785,1.99139
254576,APACHE CORP,APA,US03743Q1085,6060000000,1809000000,742000000,2760000000,10.26,0.05157,20.14,7610119956,7718850.59524,,378000000,,-4498000000,-290000000,-210000000,3290000000,215000000,2686000000,8635000000,1565000000,-80000000,2437000000,-872000000,,-678000000,,0.29851,0.12244,0.47412,3.71968
817726,Apollo Global Management LLC,APO,US03769M1062,5991795000,3161132000,2006465000,4134046000,7.14684,0.07285,62.8,14589656562,1868400.33333,-693698000,229219259,5298097000,-2136965000,-401654000,,3184441000,,25725500000,13730325000,9629146000,345001000,-1460640000,709107000,539885000,3213920000,0.88423,0.52758,0.33487,0.20837,2.06036
111052,APPLE INC,AAPL,US0378331005,347155000000,99938000000,86802000000,116100000000,28.4333,0.26316,146.06,2437395383860,74940618.78571,-204804000000,16897628250,142351000000,-42413000000,-21293000000,-21120000000,110935000000,121791000000,114423000000,121791000000,64280000000,753000000,104414000000,-9849000000,-82399000000,-94328000000,0.41005,0.28788,0.25004,1.35037,1.33753
67102,APPLIED MATERIALS INC /DE,AMAT,US0382221051,21628000000,6470000000,5307000000,6299000000,24.2427,0.2168,140.8,127132332800,7010380.47619,-11529000000,914250000,10099000000,-3629000000,-1206000000,-2423000000,6856000000,,15248000000,5451000000,12060000000,-634000000,5609000000,-770000000,-2131000000,-3130000000,0.46694,0.29915,0.24538,0.44005,1.18692
10383326,AppLovin Corporation,APP,US03831W1080,2164260000,40847000,-104558000,194035000,-245.17503,-0.02273,72.75,24416297309,1180308.95238,-829988000,352371284,1334272000,-1293425000,-1023249000,-270176000,408067000,18310000,1716845000,1751986000,1997637000,-196222000,289901000,-1178688000,1773487000,1857845000,0.6165,0.01887,-0.04831,-0.05234,-1.85576
378125,Aptiv PLC,APTV,JE00B783TY65,15710000000,1580000000,992000000,1887000000,39.88446,0.05579,146.43,39603860336,1251916.16667,-12955000000,270200000,2755000000,-1175000000,-1028000000,,2370000000,16000000,8055000000,4047000000,8525000000,-149000000,1907000000,-544000000,-1115000000,-330000000,0.17537,0.10057,0.06314,0.11636,1.90222
361112,Aramark,ARMK,US03852U1060,11236851000,-34814000,-274852000,428735000,-29.66826,-0.01956,23.19,8188252229,2794881.11905,-10366359000,351633495,870492000,-905306000,-341992000,,528500000,74122000,2620917000,7665901000,2695995000,340472000,485320000,-612980000,35366000,-1825680000,0.07747,-0.0031,-0.02446,-0.10195,-1.55988
18500276,ArcelorMittal S.A.,MT,US03938L2034,53270000000,2110000000,-733000000,,,-0.00893,31.88,34453813086,3732247.11905,-49138000000,,4132000000,-2022000000,-2022000000,,,2507000000,27973000000,13162000000,59156000000,78000000,4021000000,-7659000000,-2089000000,3349000000,0.07757,0.03961,-0.01376,-0.01239,
445596,Arch Capital Group LTD,ACGL,BMG0450A1053,9535402000,2598854000,2033350000,3128795000,7.76717,0.04374,39.3,15862229883,1822950.16667,,401867165,,,,,2664453000,,,3017415000,14962479000,338722000,3177497000,-2326714000,4242000,-127644000,,0.27255,0.21324,0.1359,1.53874
66997,ARCHER DANIELS MIDLAND CO,ADM,US0394831020,74923000000,2532000000,2313000000,486000000,15.14569,0.04539,62.39,34857424643,2420747.45238,-69518000000,561500000,5405000000,-2873000000,-2873000000,,3511000000,1289000000,28504000000,9721000000,21674000000,-3111000000,1057000000,1898000000,-21000000,-771000000,0.07214,0.03379,0.03087,0.10672,0.21012
536189,"Arista Networks, Inc.",ANET,US0404132054,2628794000,808690000,728587000,915209000,37.46598,0.13989,22.45,27538068000,6723918.09524,-949798000,1218528000,1678996000,-870306000,-332630000,-537676000,857345000,,4328395000,0,3697841000,-24526000,920092000,-612125000,-206421000,-217496000,0.63869,0.30763,0.27716,0.19703,1.25614
1070494,"Asana, Inc.",ASAN,US04342Y1047,293425000,-222931000,-263812000,-225588000,-67.91717,-0.35868,118.26,21748118424,2243290.16667,-33297000,151508250,260128000,-483059000,-321841000,-161218000,-218589000,,435196000,36604000,279264000,65287000,-68560000,-181573000,33776000,69917000,0.88652,-0.75975,-0.89908,-0.94467,0.85511
66790,AT&T INC.,T,US00206R1023,176015000000,27310000000,-2162000000,23819000000,-68.79863,-0.00397,20.79,148441187825,40681725.19048,-84935000000,7154528332,91080000000,-63770000000,-38191000000,,52889000000,24016000000,62869000000,179783000000,179846000000,-17011000000,43042000000,-33901000000,-97000000,-14196000000,0.51746,0.15516,-0.01228,-0.01202,-11.01711
1204607,Atlassian Corp Plc,TEAM,GB00BZ09BD16,2089132000,101634000,-696315000,470014000,-142.26878,-0.23641,404.6,91282210600,1065039.16667,-336021000,244844000,1753111000,-1651477000,-688151000,-963326000,194482000,348799000,1627506000,348799000,294914000,247201000,841330000,256644000,1163000,-1654805000,0.83916,0.04865,-0.3333,-2.36108,-0.675
591496,AUTOMATIC DATA PROCESSING INC,ADP,US0530151036,15005400000,3324600000,2598500000,3010300000,32.66759,0.05328,198.67,84537724634,1532850.30952,-8640300000,427275000,6365100000,-3040500000,-3040500000,,3835300000,,40741800000,2985000000,5670100000,-937400000,3093300000,-3515000000,-1268200000,6437500000,0.42419,0.22156,0.17317,0.45828,1.15848
66437,"AUTONATION, INC.",AN,US05329W1027,48144400000,1454100002,958300002,1822200001,10.73179,0.11434,120.46,9694596828,1190892.28571,-43827099998,85375000,4317300002,-2867700000,-2670200000,,1651600002,207000000,2801900000,1997300000,2856800001,35900000,1243600000,42499999,-1227700000,-1483800000,0.08967,0.0302,0.0199,0.33545,1.90149
378100,Avago Technologies,AVGO_old,n/a,6824000000,1769000000,1364000000,2808000000,97.93548,0.12878,50.6,139903724950,13942005.2381,-3271000000,2640000000,3553000000,-1784000000,-486000000,-1049000000,2731000000,46000000,3775000000,3949000000,4714000000,-166000000,2318000000,-241000000,241000000,-1859000000,0.52066,0.25923,0.19988,0.28935,2.05865
1033572,"Avantor, Inc.",AVTR,US05352A1007,7040100000,902800000,266600001,1071800000,92.83796,0.0237,42.81,24921337327,3520085.42857,-4712800000,579925000,2327300000,-1424500000,-1424500000,,1279000000,39500000,2422700000,5651000000,2985900000,-147400000,978200000,-1238600000,44300000,81300002,0.33058,0.12824,0.03787,0.08929,4.02026
980327,"AVIS BUDGET GROUP, INC.",CAR,US0537741052,6632000000,927000000,183000000,-275000000,36.37005,0.00831,95.32,6658941960,1864062.42857,-4633000000,69825000,1999000000,-1072000000,-796000000,,1810000000,21000000,2736000000,14706000000,92000000,-944000000,1596000000,-1175000000,-23000000,-391000000,0.30142,0.13978,0.02759,1.98913,-1.50273
702906,Axalta Coating Systems Ltd.,AXTA,BMG0750C1082,4291799999,547899999,293799999,824699999,22.84725,0.04075,28.57,6611098000,2547048.83333,-2749200000,234275000,1542599999,-994700000,-708700000,-58800000,860399999,40500000,3048200000,3853900000,1535300000,-22600000,658900000,-118500000,-149100000,-459900000,0.35943,0.12766,0.06846,0.19136,2.80701
1312108,AZEK Co Inc.,AZEK,US05478C1053,1096773000,30307000,-9750000,-28148000,-608.19181,-0.00477,38.6,5976908804,1129340.54762,-728803000,143599069,367970000,-337663000,-333171000,,130117000,,494146000,474936000,1382173000,-17117000,205803000,-156795000,,-43655000,0.3355,0.02763,-0.00889,-0.00705,2.88697
1204713,"Baidu, Inc.",BIDU,US0567521085,15513750108,2077695580,3255925737,65520882,8.18351,0.06483,162.21,54322690197,5376387.57143,-7991738689,334891130,7522011418,-5444315838,-2617114035,-2827201803,3045695580,2293863534,27677626075,11402139702,28960951768,-2790000000,3709000000,-4223000000,-1251000000,869000000,0.48486,0.13393,0.20987,0.11242,0.02012
679135,Baker Hughes Company,BKR,US05722G1004,20468000000,1232000000,-38000000,3180000000,-452.34,-0.00104,23.94,24935677240,7469494.40476,-16868000000,718000000,3600000000,-2368000000,-2368000000,,2425000000,51000000,15512000000,6773000000,17400000000,563000000,1780000000,-311000000,,-1755000000,0.17588,0.06019,-0.00186,-0.00218,-83.68421
247618,BALL CORP,BALL,US0584981064,12779000000,1373000000,870000000,1682000000,34.70148,0.04544,92.36,62827520560,1984460.16667,-10131000000,327278750,2648000000,-1275000000,-606000000,,2042000000,771000000,5029000000,7741000000,3701000000,835000000,1832000000,-1476000000,-121000000,-436000000,0.20721,0.10744,0.06808,0.23507,1.93333
71941,BANK OF AMERICA CORP /DE/,BAC,US0605051046,84722000000,27873000000,26172000000,,13.48511,0.00864,40.5,347057362922,45769360.83333,,8714375000,,,,,35616000000,345506000000,,620110000000,277119000000,-97681000000,-39683000000,-220591000000,-6071000000,230487000000,,0.32899,0.30892,0.09444,
467599,Bank of New York Mellon Corp,BK,US0640581007,15571000000,4481000000,3427000000,-54000000,13.25315,0.00734,51.15,44780845324,4770593.52381,,883058000,,,,,6305000000,18876000000,,44505000000,45794000000,-6145000000,-432000000,-15810000000,-1267000000,18657000000,,0.28778,0.22009,0.07484,-0.01576
854462,BASF,BAS.DE,DE000BASF111,82153008700,2934518691,2751168145,5814009439,24.69493,0.02755,73.97,67939891630,2179906.04762,-61115244280,918479000,21037764417,-20044011392,-10682400305,-2579290391,10599713173,5254596334,39877858846,23260378549,45859718285,-1719394027,7325850560,613351888,-4494924,-11325819900,0.25608,0.03572,0.03349,0.05999,2.11329
185942,"Bath & Body Works, Inc.",BBWI,US0708301041,14215000000,3025000000,1842000000,3539000000,9.98521,0.17725,66.34,17538501304,3406608.47619,-7637000000,277750000,6578000000,-3553000000,-3553000000,,3538000000,,4514000000,5938000000,-1188000000,-292000000,2326000000,-271000000,-1118000000,-2213000000,0.46275,0.2128,0.12958,-1.55051,1.92128
542074,Bausch Health Companies Inc.,BHC,CA0717341071,8478000000,1619000000,-1287000000,2596000000,-7.54004,-0.04284,27.27,9773448885,2455994.85714,-2421000000,356800000,6057000000,-4438000000,-2499000000,-449000000,3290000000,,5450000000,23439000000,-611000000,-123000000,1487000000,-252000000,,-1251000000,0.71444,0.19096,-0.1518,2.10638,-2.01709
254808,BAXTER INTERNATIONAL INC,BAX,US0718131099,12197000000,1690000000,1120000000,1858000000,37.96043,0.0569,83.61,42043455135,3809475.59524,-7433000000,507250000,4764000000,-3074000000,-2553000000,-525000000,2551000000,457000000,8004000000,6167000000,8535000000,-208000000,2074000000,-1145000000,-770000000,-1961000000,0.39059,0.13856,0.09183,0.13122,1.65893
849702,Bayer,BAYN.DE,DE000BAY0017,49781668049,-8576183441,-3326978063,2474644095,-15.64164,-0.02415,53.01,52078084200,2746322.19048,-23514074653,981325000,26267593393,-36881842052,-18699204791,-8917199515,7222625798,4464721175,39073534751,48611036485,36818296682,-2449044957,2294986074,1666409129,,-3571335386,0.52766,-0.17228,-0.06683,-0.09036,-0.74381
71373,BECTON DICKINSON & CO,BDX,US0758871091,19896000000,3137000000,1865000000,5571000000,40.83409,0.03433,255.56,76179616304,1410592.38095,-10551000000,297994919,9345000000,-6208000000,-4733000000,-1251000000,5371000000,2033000000,9536000000,17733000000,24136000000,1015000000,5178000000,-1512000000,-1000000000,-3373000000,0.46969,0.15767,0.09374,0.07727,2.98713
