SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),Chg. WC,Op. CF,Inv. CF,Fin. CF,Revenues,EBIT,Net income,FCF,P/E,ROA,Avg. shares basic,Op. Exp.,SG&A,R&D,EBITDA,ST debt,Cur. assets,Debt,Equity,Net Cash from Equity,Operating Margin,Net Margin,ROE,FCF/Net inc.,COGS,Gross Profit,Gross Margin
62329,AES CORP,AES,US00130H1059,19.26,13692402288,7868444.88095,-312000000,2526000000,-3385000000,1359000000,12429000000,2315000000,754020000,-963000000,17.49063,0.01579,684750000,-269000000,-269000000,,3513000000,553000000,9555000000,29107000000,7029000000,,0.18626,0.06067,0.10727,-1.27715,-9845000000,2584000000,0.2079
1242005,"Affirm Holdings, Inc.",AFRM,US00827B1061,44.28,13776248539,10140895.2619,-4274651000,450138000,-1325149000,913149000,2322999000,-428684000,-517757000,-4691357000,-25.25858,-0.05439,309857129,-2407430000,-1101696000,,-259640000,,2470994000,6415212000,2731989000,33125000,-0.18454,-0.22288,-0.18952,9.06092,-344253000,1978746000,0.85181
62581,AFLAC INC,AFL,US0010551028,108.96,61020466847,2312555.80952,-1405000000,3207000000,1378000000,-3355000000,19302000000,6477000000,5471000000,,11.51242,0.04553,578051000,,,,,,,7430000000,24622000000,-2927000000,0.33556,0.28344,0.2222,,,,
45846,AGILENT TECHNOLOGIES INC,A,US00846U1016,139.01,39941419546,1504620.69048,-36000000,1786000000,-333000000,-989000000,6497000000,1488000000,1413000000,1460000000,28.67758,0.1285,291500000,-2046000000,-1564000000,-482000000,1738000000,795000000,4256000000,2932000000,5903000000,-817000000,0.22903,0.21748,0.23937,1.03326,-2963000000,3534000000,0.54394
2226695,AGNICO EAGLE MINES LTD,AEM,CA0084741085,81.29,40425471559,2156791.14286,-20465000,696007000,-376156000,-202606000,1917714000,519556000,310916000,,44.77387,0.05916,171250000,-500446000,-119085000,-109500000,,,901434000,842955000,3385354000,20711000,0.27092,0.16213,0.09184,,-897712000,1020002000,0.53188
6480964,Agree Realty Corporation,ADC,US0084921008,75.64,7611240886,1092943.19048,-5840000,407989000,-901866000,505884000,583005000,284358000,179624000,541340000,41.93312,0.02245,99579511,-232336000,-36767000,,476156000,,119107000,2668856000,5200061000,287400000,0.48775,0.3081,0.03454,3.01374,-66311000,516694000,0.88626
185217,AIR PRODUCTS & CHEMICALS INC /DE/,APD,US0091581068,287.3,63870956425,1193175.61905,578700000,3692000000,-6290400000,3358400000,12104400000,2726000000,2570900000,3773400000,24.85895,0.06953,222450000,-1106900000,-947100000,-102800000,4153600000,1150000000,5677400000,14032700000,16687000000,10700000,0.22521,0.21239,0.15407,1.46774,-8271500000,3832900000,0.31665
1214552,"Airbnb, Inc.",ABNB,US0090661010,122.42,77736700000,5001493.45238,862000000,4362000000,4557000000,-7528000000,10505000000,1598000000,4844000000,-47000000,16.04804,0.18404,635000000,-7078000000,-4023000000,-1845000000,1650000000,,22252000000,1993000000,8002000000,-2596000000,0.15212,0.46111,0.60535,-0.0097,-1829000000,8676000000,0.82589
69211,AKAMAI TECHNOLOGIES INC,AKAM,US00971T1016,97.41,14760125256,1524489.52381,-82720000,1529936000,-1927274000,551989000,3927051000,680121000,628813000,923072000,23.47799,0.06234,151558000,-1672827000,-1150359000,-445428000,1291047000,,2847403000,3542013000,4754676000,-361432000,0.17319,0.16012,0.13225,1.46796,-1574103000,2352948000,0.59916
65470,"ALASKA AIR GROUP, INC.",ALK,US0116591092,39.76,5016088718,2307409.11905,127248693,1090000000,-620000000,105000000,10521000000,773483987,226000000,-357398679,22.32876,0.01473,31587724000,-1078694002,-317000000,,934881056,513170258,3376000000,3872249071,4226000000,-129000000,0.07344,0.02148,0.05348,-1.58141,-8672732608,1847458038,0.17603
132877,ALBEMARLE CORP,ALB,US0126531013,86.59,10177202819,3024551.90476,-13569000,991480000,-2672960000,1941284000,7457882000,-1440872000,-500897000,-3123799000,-20.29851,-0.02724,117420750,-820114000,-731977000,-88137000,-929254000,3213000,5225705000,3522717000,11483155000,2236945000,-0.1932,-0.06716,-0.04362,6.23641,-8078640000,-620758000,-0.08324
1077533,"Albertsons Companies, Inc.",ACI,US0130911037,18.52,10725556031,3333202.38095,-912000000,2780400000,-1830700000,-889200000,79452800000,1928700000,1119100000,1212500000,9.54133,0.04292,576550000,-20193400000,-20193400000,,3728700000,757600000,6207900000,14142700000,2913100000,,0.02427,0.01409,0.38416,1.08346,-57330700000,22122100000,0.27843
367153,Alcoa Corp,AA,US0138721065,34.34,8871400408,6389812.90476,48000000,331000000,-644000000,720000000,10702000000,-134000000,-550000000,124000000,-11.15399,-0.03844,178645741,-1005000000,-249000000,-47000000,516000000,79000000,4903000000,2548000000,5416000000,0,-0.01252,-0.05139,-0.10155,-0.22545,-9831000000,871000000,0.08139
1202765,Alibaba Group Holding Ltd,BABA,US01609W1027,84.42,212506245000,13295862.71429,-1922338149,25529528673,-3051357027,-15134305815,131590890357,20338139082,11149113854,19511543465,19.06037,0.04522,2517250000,-29275075018,-21968819847,-7306255170,22835822455,4051944286,152279110835,23860378519,155449438334,,0.15456,0.08473,0.07172,1.75005,-81977676256,49613214100,0.37703
442346,Allegheny Technologies Inc.,ATI,US01741R1023,62.28,7751606336,1369707.92857,24100000,305300000,-209500000,72300000,4227800000,492100000,412700000,355900000,19.08994,0.08386,126500000,-333000000,-333000000,,641100000,316800000,2652900000,2170800000,1467900000,-225100000,0.1164,0.09762,0.28115,0.86237,-3402700000,825100000,0.19516
119577,ALLIANT ENERGY CORP,LNT,US0188021085,60.33,15474619360,1219642.47619,-3134000000,-1495000000,1161000000,413000000,3445000000,780000000,530000000,-914000000,29.07508,0.02427,255425000,-507000000,284000000,,1499000000,856000000,1214000000,9756000000,6791000000,182000000,0.22642,0.15385,0.07804,-1.72453,,,
68840,ALLSTATE CORP,ALL,US0200021014,191.01,50434392905,1538219.61905,-1357000000,5967000000,-7795000000,-737000000,60302000000,4319000000,2909000000,3856000000,17.26083,0.02684,262875000,,,,4924000000,,,8082000000,18573000000,138000000,0.07162,0.04824,0.15663,1.32554,,,
510248,Ally Financial Inc.,ALLY,US02005N1000,34.05,10374077650,3682476.38095,-1324000000,5853000000,-7570000000,5111000000,12795000000,7702000000,825000000,,12.60304,0.00429,305360000,,,,,155120000000,,171099000000,13851000000,-80000000,0.60195,0.06448,0.05956,,,,
18,Alphabet (Google),GOOG,US02079K1079,160.81,2023150610000,18813386.57143,-15887000000,105059000000,-24662000000,-78293000000,328284000000,97937000000,87657000000,64324000000,23.08031,0.21134,12581000000,-90324000000,-43190000000,-47134000000,110665000000,,161995000000,13238000000,300753000000,-63358000000,0.29833,0.26702,0.29146,0.73381,-140023000000,188261000000,0.57347
133574,"ALTRIA GROUP, INC.",MO,US02209S1033,50.63,86963425847,8304840.59524,-1394000000,8262000000,1378000000,-5329000000,24340000000,11464000000,8472000000,16948000000,10.60917,0.23227,1775250000,-3630000000,-2771000000,,11749000000,,5198000000,25042000000,-5064000000,-1000000000,0.47099,0.34807,-1.67299,2.00047,-9246000000,15094000000,0.62013
62747,AMAZON COM INC,AMZN,US0231351067,186.43,1956688533625,39122251.52381,-9877000000,94660000000,-62574000000,-14608000000,604334000000,54376000000,44419000000,43240000000,43.46219,0.08006,10355346154,-235965000000,-54981000000,,102914000000,,173307000000,54889000000,236447000000,,0.08998,0.0735,0.18786,0.97346,-313993000000,290341000000,0.48043
6475603,Amcor plc,AMCR,JE00BJ1F3079,11.01,15913228764,10287279.47619,-101000000,1340000000,-495000000,-857000000,13640000000,1346000000,730000000,1550000000,21.79377,0.04418,1445000000,-1366000000,-1260000000,-106000000,1941000000,96000000,4965000000,6699000000,3953000000,-51000000,0.09868,0.05352,0.18467,2.12329,-10928000000,2712000000,0.19883
18493381,"Amer Sports, Inc.",AS,n/a,14.85,7502956664,1288935.92857,-355288556,-91700000,-118600000,81100000,,,,,,,,,,,,,,,,,,,,,,,
68703,AMEREN CORP,AEE,US0236081024,84.62,22578031270,1303378.69048,-506000000,2502000000,-3841000000,1394000000,7187000000,1610000000,1170000000,-883000000,19.15703,0.02764,264875000,-3909000000,,,3099000000,1490000000,2217000000,17770000000,11668000000,351000000,0.22402,0.16279,0.10027,-0.7547,-1668000000,5519000000,0.76791
68568,American Airlines Group Inc.,AAL,US02376R1023,11.03,7243444160,34025279.92857,,2015000000,1351000000,-3405000000,53448000000,2782000000,-121000000,,-59.74564,-0.00189,655414500,-9943000000,-1736000000,,,4120000000,14795000000,31756000000,-4746000000,,0.05205,-0.00226,0.0255,,-40723000000,12725000000,0.23808
445654,American Capital Agency Corp,AGNC,US00123Q1040,10.66,8341070952,15058181.69048,14000000,-83000000,-14922000000,15288000000,2041000000,2394000000,32000000,,,0.00045,618400000,-96000000,,,,,78832000000,80000000,8652000000,1483000000,1.17295,0.01568,0.00388,,,,
66050,AMERICAN ELECTRIC POWER CO INC,AEP,US0255371017,103.22,54925425884,2934745.78571,64100000,6034800000,-5250900000,-886700000,19523800000,4042000000,2633300000,8654900000,20.59863,,525502447,-9090200000,,,7224300000,4936200000,5849600000,0,25843700000,1397800000,0.20703,0.13488,,3.28671,-6391600000,13132200000,0.67263
413080,AMERICAN EXPRESS CO,AXP,US0258161092,262.18,186386817184,2754007.57143,9071000000,25097000000,-23733000000,8609000000,63314000000,11159000000,9836000000,22815000000,19.285,0.03613,723500000,,,,12821000000,1639000000,,53160000000,29540000000,-5303000000,0.17625,0.15535,0.33297,2.31954,,,
445723,American Homes 4 Rent,AMH,US02665T3068,39.66,14535357677,2121376.85714,57352000,809337000,-1070121000,780660000,1677403000,392123000,404135000,,35.79222,0.03038,364722357,-544364000,-80401000,,856086000,,718380000,4992590000,7711987000,139487000,0.23377,0.24093,0.0524,,-740916000,936487000,0.5583
251769,AMERICAN INTERNATIONAL GROUP INC,AIG,US0268747849,73.3,47201640112,4077424.11905,4984000000,6581000000,27003000000,-33930000000,16975000000,11091000000,-677000000,,-74.64674,-0.00403,689438507,,,,14782000000,,,9940000000,44475000000,-5654000000,0.65337,-0.03988,-0.01522,,,,
68339,AMERICAN TOWER CORP /MA/,AMT,US03027X1000,235.95,110207916969,2213532,-673200000,5064600000,-1504300000,-2941700000,11339700000,4298500000,2489500000,4943800000,44.21352,0.03781,466495250,-3803800000,-975500000,,6937400000,3329200000,4114100000,38968400000,10423500000,35500000,0.37907,0.21954,0.23884,1.98586,-3237400000,8102300000,0.71451
6480942,"Americold Realty Trust, Inc.",COLD,US03064D1081,28.28,8035919265,1924337.2381,-44187000,482046000,-303575000,-183994000,2715542000,177756000,-106430000,205920000,,-0.01328,272210500,-2802259000,-229096000,,519867000,619636000,473278000,674405000,3469588000,419111000,0.06546,-0.03919,-0.01635,-1.93479,,,
67669,AMETEK INC/,AME,US0311001004,169.43,39229138550,1307711.35714,140779000,1805175000,-2286297000,279029000,6824736000,1747857000,1331860000,2423570000,29.38641,0.09002,231001500,-685003000,-685003000,,2118239000,827967000,2767244000,2651377000,9252404000,47476000,0.25611,0.19515,0.14395,1.81969,-4391876000,2432860000,0.35648
65735,AMGEN INC,AMGN,US0311621009,332.92,178887643922,1899766.38095,-1415000000,6446000000,-27857000000,-3536000000,30934000000,6192000000,3130000000,9281000000,57.01122,0.03443,536000000,-13388000000,-7220000000,-5403000000,11266000000,5528000000,27206000000,62645000000,5925000000,,0.20017,0.10118,0.52827,2.96518,-11354000000,19580000000,0.63296
693881,"AMKOR TECHNOLOGY, INC.",AMKR,US0316521006,30.24,7450808531,1593923.19048,190432000,1234510000,-808097000,-145925000,6400589000,479915000,375970000,652478000,19.78186,0.05476,245945250,-495965000,-333488000,-162477000,1091650000,178390000,3136841000,1127710000,4083334000,3562000,0.07498,0.05874,0.09207,1.73545,-5424709000,975880000,0.15247
65820,AMPHENOL CORP /DE/,APH,US0320951017,63.3,76231481103,7183669.47619,130600000,2723500000,-3214300000,435000000,13392700000,2826700000,2101800000,3500500000,36.09603,0.11308,1198525000,-1624300000,-1624300000,,3270100000,404100000,6971800000,5439400000,9050500000,-142700000,0.21106,0.15694,0.23223,1.66548,-8941700000,4451000000,0.33235
65917,ANALOG DEVICES INC,ADI,US0326541051,222.64,110539302821,3517140.14286,221244000,3989006000,-1472305000,-1559915000,9700436000,2246255000,1655631000,3723192000,66.74325,0.03405,496326750,-3365676000,-1080356000,-1515554000,4366227000,1446694000,5442936000,8102417000,35190109000,-868688000,0.23156,0.17068,0.04705,2.24881,-4088505000,5611931000,0.57852
11790995,Anheuser-Busch InBev SA/NV,BUD,US03524A1088,63.41,127580920000,1206695.69048,-2928000000,13298000000,-4620000000,-10620000000,46881000000,12516000000,2202000000,13795758760,,0.00816,1984000000,-14731000000,-15369000000,,18022421247,1112000000,23186000000,119355521590,84277000000,,0.26697,0.04697,0.02357,6.2651,-19634000000,27247000000,0.58119
1145420,ANNALY CAPITAL MANAGEMENT INC,NLY,US0357104092,20.82,10419161279,4588546.14286,-515863000,307273000,-21174766000,20738690000,1232672000,160722000,-482885000,,-21.38169,-0.00528,495912445,-193353000,-41373000,,187362000,,89497054000,0,12657436000,,0.13039,-0.39174,-0.03815,,,,
466098,ANTERO RESOURCES Corp,AR,US03674X1063,26.65,8288336550,3403049.09524,-41796000,900665000,-916852000,16187000,4421244000,265697000,83254000,861466000,96.08736,0.00621,300174750,-3453667000,-496693000,-3182000,962983000,,408990000,1591208000,7191959000,1000,0.0601,0.01883,0.01158,10.34744,,,
67471,Aon plc,AON,IE00BLP1HW54,349.31,75884859259,1002090.90476,400000000,3126000000,-2601000000,-562000000,14158000000,3774000000,2549000000,4831000000,27.91465,0.04954,203700000,-2979000000,,,3953000000,4000000,25543000000,17614000000,6158000000,-2034000000,0.26656,0.18004,0.41393,1.89525,-7405000000,6753000000,0.47697
10383334,APi Group Corporation,APG,US00187Y1001,23.15,9538804085,1832207.61905,-48000000,558000000,-656000000,57000000,6874000000,405000000,-478000000,721000000,-18.02746,-0.06004,372229966,-1650000000,-1650000000,,703000000,4000000,2454000000,2848000000,2835000000,440000000,0.05892,-0.06954,-0.16861,-1.50837,-4819000000,2055000000,0.29895
817726,Apollo Global Management LLC,APO,US03769M1062,117.55,68061450000,3064507.64286,-1912158000,697781000,-3024925000,2597252000,4038213000,1154063000,562341000,,121.58629,0.04106,581650000,-271394000,-763080000,,,,10994926000,3787643000,4146231000,,0.28579,0.13925,0.13563,,,,
111052,APPLE INC,AAPL,US0378331005,220.69,3355400994530,49506342.19048,-9017000000,113041000000,3884000000,-120188000000,385603000000,120594000000,101956000000,132979000000,33.44386,0.30746,15450643250,-56637000000,-25725000000,-30912000000,131781000000,2994000000,125435000000,101304000000,66708000000,-90869000000,0.31274,0.26441,1.52839,1.30428,-208372000000,177231000000,0.45962
67102,APPLIED MATERIALS INC /DE,AMAT,US0382221051,186.14,153454576940,7203807.28571,-221000000,7657000000,-1745000000,-3667000000,26854000000,7792000000,7450000000,7870000000,20.74399,0.22142,830250000,-4939000000,-1775000000,-3164000000,8204000000,99000000,20671000000,6257000000,18840000000,-2846000000,0.29016,0.27743,0.39544,1.05638,-14123000000,12731000000,0.47408
10383326,AppLovin Corporation,APP,US03831W1080,123.16,41166055975,4196719.52381,-350844000,1390360000,-156531000,-1646387000,3955751000,1186377000,825494000,1351531000,50.32246,0.15666,337292047,-1654023000,-1024693000,-629330000,1648493000,35563000,1660270000,3517729000,814836000,-1297436000,0.29991,0.20868,1.01308,1.63724,-1115351000,2840400000,0.71804
378125,Aptiv PLC,APTV,JE00B783TY65,69.67,18515505610,3357360.16667,-117000000,2279000000,-1263000000,-890000000,19985000000,1928000000,3690000000,-7000000,5.23549,0.14908,277292500,-1733000000,-1512000000,,2878000000,1475000000,8829000000,6979000000,11770000000,-1330000000,0.09647,0.18464,0.31351,-0.0019,-16324000000,3661000000,0.18319
361112,Aramark,ARMK,US03852U1060,38.08,10032119946,1948367.2381,-68547000,741421000,-452398000,-194796000,19954685000,941087000,474866000,1040426000,17.02573,0.03784,212314560,-988460000,-426387000,,1401448000,943279000,3330366000,5977606000,2951661000,28131000,0.04716,0.0238,0.16088,2.19099,-18025138000,1929547000,0.0967
18500276,ArcelorMittal S.A.,MT,US03938L2034,23.5,19252886266,1710488.78571,78000000,4021000000,-7659000000,3349000000,79844000000,10272000000,9302000000,,,0.09838,,-2263000000,-2263000000,,,2583000000,37118000000,12159000000,74948000000,-2089000000,0.12865,0.1165,0.12411,,-67309000000,12535000000,0.15699
445596,Arch Capital Group LTD,ACGL,BMG0450A1053,113.04,42509578347,1375655.02381,-2154000000,6717000000,-6390000000,-47000000,15474000000,4581000000,5406000000,1743000000,7.74928,0.08258,370600000,,,,4677000000,,,2727000000,20664000000,-10000000,0.29604,0.34936,0.26161,0.32242,,,
66997,ARCHER DANIELS MIDLAND CO,ADM,US0394831020,60.53,28941936955,2546991.54762,-137000000,4729000000,-2497000000,-3134000000,88768000000,3013000000,2601000000,3149000000,12.06644,0.04936,518500000,-3592000000,-3592000000,,4117000000,2313000000,26962000000,10560000000,22461000000,-3999000000,0.03394,0.0293,0.1158,1.21069,-82163000000,6605000000,0.07441
10383314,Ares Capital Corporation,ARCC,US04010L1035,20.34,12822063261,3388362.97619,30000000,1582000000,-5047000000,3545000000,607000000,583000000,155000000,,,0.01614,498000000,-24000000,,,,,583000000,7557000000,1912000000,,0.96046,0.25535,0.08107,,,,
10383304,Ares Management Corporation,ARES,US03990B1017,152.35,27879976110,1033851.04762,-701919000,-992141000,1076915000,-140621000,3221281000,826869000,479562000,,59.159,0.01982,,-1974554000,-711008000,,,,20618528000,3993529000,3907689000,87100000,0.25669,0.14887,0.12272,,,,
536189,"Arista Networks, Inc.",ANET,US0404132054,90.43,113635377945,7542202.66667,379889000,2728257000,-1336342000,-222262000,6311667000,2602323000,2462083000,3384965000,45.85763,0.21182,1248538000,-1437914000,-538203000,-899711000,2664838000,,9842318000,0,8430808000,-168466000,0.4123,0.39008,0.29203,1.37484,-2271430000,4040237000,0.64012
18633363,"ASE Technology Holding Co., Ltd.",ASX,US00215W1009,9.6,42090496675,9740866.2381,-1206756000,25178816000,-36407801000,19460999000,,,,,,,,,,,,,,,,-859219000,,,,,,,
15665002,ASTRAZENECA PLC,AZN,US0463531089,78.58,121811779151,5046249.07143,,,,,,,,,,,,,,,,,,,,,,,,,,,
66790,AT&T INC.,T,US00206R1023,21.73,155809399447,35319666.78571,-2328000000,38354000000,-17396000000,-27377000000,122197000000,24492000000,12520000000,28226000000,12.34809,0.03146,7114500000,-48344000000,-28754000000,,44082000000,5249000000,29868000000,130604000000,121324000000,-164000000,0.20043,0.10246,0.10319,2.25447,-49361000000,72836000000,0.59605
1204607,Atlassian Corp Plc,TEAM,GB00BZ09BD16,159.84,41562877118,2013830.69048,576989000,1448159000,-963746000,-408217000,4358603000,-117077000,-300519000,720650000,-137.82762,-0.05766,259133000,-3672185000,-1488074000,-2184111000,-38339000,,3076264000,985911000,1032850000,-395256000,-0.02686,-0.06895,-0.29096,-2.39802,-803495000,3555108000,0.81565
591496,AUTOMATIC DATA PROCESSING INC,ADP,US0530151036,275.91,112514774460,1558244.83333,-1417400000,4157600000,-786300000,-2034400000,19202700000,4946900000,3752000000,4676500000,30.1942,0.06902,410600000,-4847900000,-3779000000,-719300000,5508800000,,45542500000,2991300000,4547600000,-1184500000,0.25761,0.19539,0.82505,1.2464,-9407900000,9794800000,0.51007
378100,Avago Technologies,AVGO_old,n/a,161.67,447000695902,28233755.28571,-166000000,2318000000,-241000000,-1859000000,6824000000,1769000000,1364000000,2808000000,312.90968,0.12878,2640000000,-1784000000,-486000000,-1049000000,2731000000,46000000,3775000000,3949000000,4714000000,241000000,0.25923,0.19988,0.28935,2.05865,-3271000000,3553000000,0.52066
1033572,"Avantor, Inc.",AVTR,US05352A1007,27.06,18396482388,9059843.83333,155500000,899500000,-160600000,143900000,6825600000,715600000,360200000,1194100000,50.89526,0.02838,677475000,-1585400000,-1585400000,,1116400000,258400000,2329200000,5115000000,5435000000,46100000,0.10484,0.05277,0.06627,3.3151,-4524600000,2301000000,0.33711
702906,Axalta Coating Systems Ltd.,AXTA,BMG0750C1082,35.97,7888398116,1815721.2381,-3900000,644100000,-204700000,-87800000,5251300000,650600000,299000000,934400000,26.50833,0.04093,220350000,-1085400000,-843900000,-72300000,926500000,20000000,3014000000,3608000000,1818000000,-100000000,0.12389,0.05694,0.16447,3.12508,-3515300000,1736000000,0.33058
1312108,AZEK Co Inc.,AZEK,US05478C1053,45.2,6540242521,1963369.7381,148665000,362542000,-88504000,-116541000,1435217000,211640000,152995000,463294000,43.38206,,146841551,-318767000,-317702000,,344184000,6000000,593378000,0,1359305000,-104387000,0.14746,0.1066,,3.02816,-904810000,530407000,0.36957
1204713,"Baidu, Inc.",BIDU,US0567521085,84.67,29518078750,2401967.88095,-945055225,5160629120,-7108692405,-2001775666,19025208389,3089310053,2871492209,2222844524,10.92056,0.05085,347750000,-6743872252,-3324372398,-3419499854,4233807834,2650158002,31965014707,10612709732,36456400870,-169618048,0.16238,0.15093,0.07877,1.24777,-9192026083,9833182306,0.51685
679135,Baker Hughes Company,BKR,US05722G1004,34.67,34441998882,6405010.71429,-192000000,2874000000,-933000000,-2407000000,27033000000,3036000000,1992000000,3639000000,17.43073,0.05434,1001500000,-2522000000,-2522000000,,4144000000,34000000,15930000000,5895000000,15721000000,-763000000,0.11231,0.07369,0.12671,1.82681,-21475000000,5558000000,0.2056
247618,BALL CORP,BALL,US0584981064,66.52,20193171938,1458795.54762,360000000,507000000,4755000000,-4802000000,12807000000,1297000000,4204000000,1751000000,4.96258,0.22172,313630500,-1272000000,-612000000,,1966000000,276000000,5752000000,5793000000,6983000000,-665000000,0.10127,0.32826,0.60203,0.41651,-10238000000,2569000000,0.20059
18322821,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,US05946K1016,10.54,61531891605,1531851.02381,,,,,,,,,6.29933,,,,,,,,,,,,,,,,,,
18418650,"Banco Santander, S.A.",SAN,US05964H1059,5.03,81406254677,2478629.11905,,,,,,,,,,,,,,,,,,,,,,,,,,,
71941,BANK OF AMERICA CORP /DE/,BAC,US0605051046,39.62,307434457103,40736114.07143,-9206000000,47053000000,-196962000000,99277000000,98321000000,26041000000,22832000000,,13.82748,0.00701,7968425000,,,,28166000000,408535000000,,699009000000,507643000000,-9700000000,0.26486,0.23222,0.04498,,,,
18151363,Bank of Montreal,BMO,CA0636711016,86.87,62631764717,1128166.7381,,,,,,,,,,,,,,,,,,,,,,,,,,,
467599,Bank of New York Mellon Corp,BK,US0640581007,71.04,52424500729,3812820.66667,-7693000000,-2604000000,-2029000000,2499000000,17856000000,4412000000,3214000000,-1657000000,16.84713,0.0075,762200000,,,,6354000000,16002000000,,47229000000,41121000000,-2973000000,0.24709,0.18,0.07816,-0.51556,,,
18252579,Barclays PLC,BCS,US06738E2046,11.95,181096920300,15678960.19048,,,,,,,,,,,,,,,,,,,21049000000,,,,,,,,
854462,BASF,BAS.DE,DE000BASF111,50.55,46429113450,1944013.54762,-1590170896,7228377524,-2592006442,-6482049279,92927778507,8288946756,6539812239,8548685346,7.09946,0.06544,918479000,-17363140143,-11611590026,-2620142461,11974993123,3911182632,40083903881,19651977297,48124700690,,0.0892,0.07038,0.13589,1.30718,-69517893396,23409885111,0.25191
185942,"Bath & Body Works, Inc.",BBWI,US0708301041,29.71,6509815916,4923528.09524,-83000000,907000000,-150000000,-1032000000,7384000000,1287000000,937000000,1381000000,7.14322,0.18937,225284458,-1964000000,-1964000000,,1569000000,313000000,1666000000,4194000000,-1718000000,-344000000,0.1743,0.1269,-0.5454,1.47385,-4133000000,3251000000,0.44028
254808,BAXTER INTERNATIONAL INC,BAX,US0718131099,39.37,20085692348,4216649.38095,-340000000,4044000000,3299000000,-4073000000,14997000000,703000000,2476000000,1038000000,8.07355,0.0941,507750000,-4704000000,-4035000000,-687000000,1961000000,2468000000,8593000000,12904000000,7708000000,93000000,0.04688,0.1651,0.32122,0.41922,-9590000000,5407000000,0.36054
