SimFin ID,Company,Ticker,ISIN,Price Close,MCAP,Volume (SMA 2m),D&A,Cash and eq.,Cur. liab.,Liabilities,Assets,CROIC,Taxes
66790,AT&T INC.,T,US00206R1023,21.78,156167911641,35706763.47619,19590000000,3093000000,42429000000,276702000000,398026000000,0.07822,-3768000000
1204607,Atlassian Corp Plc,TEAM,GB00BZ09BD16,155.82,40517564518,1984515.95238,78738000,2338903000,2610126000,4179282000,5212133000,0.27696,-215112000
591496,AUTOMATIC DATA PROCESSING INC,ADP,US0530151036,279.41,113942057670,1555865.90476,561900000,2913400000,45080000000,49815100000,54362700000,0.50379,-1120200000
378100,Avago Technologies,AVGO_old,n/a,162.47,449212612503,28287464.19048,962000000,1822000000,1119000000,5878000000,10592000000,0.29499,-76000000
1033572,"Avantor, Inc.",AVTR,US05352A1007,26.87,18267312703,9070079.07143,400800000,272600000,1464600000,7258500000,12693500000,0.10395,-91000000
702906,Axalta Coating Systems Ltd.,AXTA,BMG0750C1082,35.7,7829185787,1793000.61905,275900000,840000000,1335000000,5488000000,7306000000,0.15597,-120500000
1312108,AZEK Co Inc.,AZEK,US05478C1053,45,6511303395,1938932.83333,132544000,274759000,198411000,929423000,2288728000,,-58788000
1204713,"Baidu, Inc.",BIDU,US0567521085,85.39,29769088750,2431587.7381,1144497781,3502678708,10613265029,20011677640,56468078511,0.04583,-515780215
679135,Baker Hughes Company,BKR,US05722G1004,34.73,34501604302,6377732.7381,1108000000,2284000000,12586000000,20935000000,36656000000,0.15097,-727000000
247618,BALL CORP,BALL,US0584981064,67.22,20405667734,1472223.02381,669000000,1346000000,4889000000,11978000000,18961000000,0.12204,-122000000
18322821,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,US05946K1016,10.47,61123235779,1543301.21429,,,,,,,
71941,BANK OF AMERICA CORP /DE/,BAC,US0605051046,39.55,306891286684,40743506.7381,2125000000,320632000000,,2750353000000,3257996000000,,-1524000000
18151363,Bank of Montreal,BMO,CA0636711016,87.71,63237390161,1132571.16667,,,,,,,
467599,Bank of New York Mellon Corp,BK,US0640581007,70.81,52254770504,3847392.33333,1942000000,5311000000,,387418000000,428539000000,-0.00387,-968000000
18252579,Barclays PLC,BCS,US06738E2046,11.91,180490738140,15470921.21429,,,394000000,394000000,21442000000,,
854462,BASF,BAS.DE,DE000BASF111,49.43,45400416970,1878635.88095,3686046367,3238733688,22966189949,51808302813,99931859883,0.1057,-1691833927
185942,"Bath & Body Works, Inc.",BBWI,US0708301041,29.16,6389304345,4889867.2619,282000000,514000000,1497000000,6666000000,4948000000,0.3669,-116000000
254808,BAXTER INTERNATIONAL INC,BAX,US0718131099,39.81,20310170495,4218459.47619,1258000000,2095000000,6131000000,18604000000,26312000000,0.04583,-73000000
849702,Bayer,BAYN.DE,DE000BAY0017,30.59,30052227800,2930767.66667,3619200863,5219484659,33625878054,99578481102,137510090914,0.07064,-1214438230
71373,BECTON DICKINSON & CO,BDX,US0758871091,231.27,66846840011,1358296.21429,2287000000,5310000000,6605000000,29714000000,55583000000,0.08503,-214000000
1011103,"BELLRING BRANDS, INC.",BRBR,US0798231009,59.59,7701558013,1075177.21429,44300000,72600000,207900000,1047300000,804100000,0.7417,-72900000
1161717,BERKLEY W R CORP,WRB,US0844231029,58.13,22121406378,1620112.78571,-172823000,1580270000,,31122868000,38909919000,0.12974,-436578000
71192,BEST BUY CO INC,BBY,US0865161014,99.48,21360867472,2922300.35714,887000000,1387000000,8451000000,12517000000,15624000000,0.29864,-391000000
17616590,BHP Group Limited,BHP,US0886061086,53.45,271073322169,2572044.61905,6184000000,12882000000,14341000000,53242000000,102362000000,,-4276000000
1801461,"Bill.com Holdings, Inc.",BILL,US0900431000,50.62,5400408621,1988845.19048,93794000,1587476000,4247200000,5044612000,9178813000,-0.03178,-1437000
135371,BIOMARIN PHARMACEUTICAL INC,BMRN,US09061G1013,70.55,13431508092,1847847.19048,106359000,1224351000,1067337000,1780822000,7067121000,0.01272,-42090000
1234040,"BJ's Wholesale Club Holdings, Inc.",BJ,US05550J1016,79.86,10588282662,1679038.95238,247240000,38058000,2523750000,5274995000,6929902000,0.16715,-185195000
498254,Blackstone Group L.P.,BX,US09260D1072,155.05,111647897142,3254009.45238,35976000,28807725000,20768417000,21910734000,40585029000,0.33993,-786434000
83293,"Block, Inc.",SQ,US8522341036,67.33,41451377850,6451881.19048,415385000,8457094000,10790386000,18253605000,37546600000,0.0194,-92258000
11794914,Blue Owl Capital Inc.,OWL,US09581B1035,18.2,8302641948,5596201.88095,317211000,867878000,374349000,4442411000,9660557000,,-46734000
825112,BMW Group,BMW.DE,DE0005190003,81.2,53521028277,1102998.40476,7679991160,24941222817,87448096837,176569310690,262491817577,0.0739,-4253260693
70844,BOEING CO,BA,US0970231058,156.39,96362382934,6846821.09524,1831000000,12621000000,96630000000,160702000000,142720000000,-0.18722,-460000000
70746,BORGWARNER INC,BWA,US0997241064,32.9,7493599278,2543665.64286,,1288000000,3712000000,7823000000,14108000000,,-223000000
70579,BOSTON PROPERTIES INC,BXP,US1011211018,80.41,12699453642,1142921.54762,857760000,685376000,6177577000,17184205000,25474448000,,
239516,BOSTON SCIENTIFIC CORP,BSX,US1011371077,82.52,121521108660,5568846.69048,1228000000,2913000000,5576000000,16499000000,37109000000,0.06928,-319000000
3240601,"BridgeBio Pharma, Inc.",BBIO,US10806X1028,26.73,5026115087,2099556.90476,6394000,447771000,872246000,1876468000,794375000,,
255210,BRISTOL MYERS SQUIBB CO,BMY,US1101221083,49.49,100335787359,12717407.71429,10027000000,7010000000,23265000000,77577000000,94646000000,0.21216,-109000000
18266282,British American Tobacco p.l.c.,BTI,US1104481072,38.01,93385530634,5739253.61905,,,,,,,
108186,Brixmor Property Group Inc.,BRX,US11120U1051,28,8437670808,2260499.61905,368960000,473615000,500293000,5875515000,8730701000,,
686523,Broadcom Inc.,AVGO,US11135F1012,162.47,758828496205,28287464.19048,7523000000,9952000000,19221000000,102315000000,167966000000,0.14735,-4633000000
245531,BROWN & BROWN INC,BRO,US1152361010,103.2,29438934787,1215831.83333,210300000,1116000000,5391000000,9907000000,15944000000,0.15162,-310800000
1253240,BRUKER CORP,BRKR,US1167941087,65.03,9845180498,1078688.04762,143800000,169700000,1304500000,4078100000,5902600000,0.08669,-103800000
826504,"Builders FirstSource, Inc.",BLDR,US12008R1077,193.89,22579346718,1598918.2619,566496000,75569000,1892541000,6416545000,10721187000,0.30313,-392780000
445920,Bunge LTD,BG,BMG169621056,97.69,14574948253,1126384.47619,420000000,2173000000,8245000000,13987000000,25133000000,0.07096,-626000000
378101,C. H. Robinson Worldwide,CHRW,US12541W2098,100.26,11758817141,1293196,97562000,113166000,2244213000,4001905000,5512346000,0.16558,-96895000
107614,CADENCE DESIGN SYSTEMS INC,CDNS,US1273871087,274.79,75242997800,2241448.7619,162062000,1058955000,1533722000,2964849000,7225741000,0.18047,-232385000
821879,CAESARS ENTERTAINMENT Corp,CZR,US12769G1004,40.25,8707603494,5438026.52381,1291000000,830000000,2611000000,28589000000,33084000000,0.07153,-88000000
446323,Camden Property Trust,CPT,US1331311027,123.99,13221660383,1048257.97619,580011000,93932000,746696000,4152642000,9079574000,0.10006,-3613000
3240087,CAMECO CORP,CCJ,CA13321L1085,40.3,17497282806,4183266.97619,274835000,1203420000,708019000,2696326000,7801831000,0.03332,-16347591
249099,CAMPBELL SOUP CO,CPB,US1344291091,51.52,15358416792,2461516.28571,401000000,107000000,3457000000,11328000000,15243000000,0.08946,-249000000
102322,CANADIAN PACIFIC RAILWAY LTD/CN,CP,CA13645T1003,86.64,80845961696,1728510.54762,1364614935,407103319,4589231132,27750998065,60511486524,0.0655,-816185168
378103,Capital One Financial,COF,US14040H1059,145.08,55399689662,2332260.52381,3267000000,5298000000,,422037000000,480018000000,0.01918,-1014000000
159950,CARDINAL HEALTH INC,CAH,US14149Y1082,111.32,27144863583,1847247.02381,710000000,5133000000,35640000000,48333000000,45121000000,0.4235,-348000000
327637,CARMAX INC,KMX,US1431301027,79.39,12391107999,1447601.71429,266660000,218931000,1985895000,21075224000,27242094000,-0.02418,-137649000
288836,CARNIVAL CORP,CCL,PA1436583006,18.03,20237859359,25212518.90476,2438000000,1646000000,13385000000,42788000000,49602000000,0.07175,-6000000
10383308,Carnival Corporation & plc,CUK,US14365C1036,16.22,18206216240,1755747.54762,2438000000,1646000000,13385000000,42788000000,49602000000,0.08102,-6000000
1169063,Carrier Global Corp,CARR,US14448C1045,77.96,70378540385,3443876.64286,894000000,2919000000,10675000000,26345000000,40424000000,0.19367,-1534000000
717670,CARVANA CO.,CVNA,US1468691027,156.58,32403222312,3495622.42857,327000000,542000000,1118000000,7055000000,7170000000,-1.45598,-27000000
1169061,"Catalent, Inc.",CTLT,US1488061029,60.35,10951334416,1774877.85714,489000000,289000000,1031000000,6149000000,9753000000,-0.0064,-16000000
253953,CATERPILLAR INC,CAT,US1491231015,353.69,171503614648,2396977.16667,2125000000,4341000000,33564000000,66200000000,83336000000,0.31484,-2845000000
14101608,"CAVA Group, Inc.",CAVA,n/a,122.47,14000841555,3386945.54762,54920000,343748000,123601000,443105000,1038542000,-0.01636,-1229000
378105,CBRE Group,CBRE,US12504L1098,118.17,36211002556,1603063.38095,625122000,928000000,7689000000,14273000000,23462000000,0.0691,-169560000
11794948,CCC Intelligent Solutions Holdings Inc.,CCCS,US12510Q1004,10.87,6776362055,3102773.11905,131654000,237893000,146591000,1166565000,3079158000,0.0554,-8658000
18452180,Celestica Inc.,CLS,CA15101Q1081,46.99,5589562656,2376024.78571,109200000,394000000,2253500000,3203900000,4666900000,,-24700000
986557,"Celsius Holdings, Inc.",CELH,US15118V2079,34.8,8110754011,5854556.57143,4627000,903210000,312923000,478646000,1718888000,0.21747,-77963000
18815843,"CEMEX, S.A.B. de C.V.",CX,US1512908898,6.13,88829034590,12280042.52381,14457000000,624000000,6786000000,15954000000,28433000000,,-1250000000
187024,"CENCORA, INC.",COR,US21870Q1058,234.53,46213392102,1346303.54762,1122751000,3306200000,58003926000,65711920000,66772423000,0.54746,-464434000
378107,Centene Corporation,CNC,US15135B1017,75.39,39657401700,3927646.66667,1257000000,20214000000,32729000000,55680000000,83137000000,0.05778,-963000000
378108,CenterPoint Energy,CNP,US15189T1079,28.32,18180504874,7025389.21429,1482000000,543000000,3410000000,30622000000,40976000000,-0.01284,-104000000
1050283,Ceridian HCM Holding Inc.,CDAY,US15677J1088,58.99,9326319000,1595547,186500000,465400000,5280300000,6570300000,9046100000,0.02146,-19300000
119051,"CF Industries Holdings, Inc.",CF,US1252691001,81.47,14698188940,1573676.2381,917000000,1819000000,596000000,5673000000,13775000000,0.1554,-292000000
1234042,ChampionX Corp,APY,n/a,29.89,5694045000,1480525,240332000,393297000,727705000,1560107000,3289340000,0.27373,-119244000
378109,Charles Schwab Corporation,SCHW,US8085131055,63.84,113535925480,8884990.42857,1421000000,25350000000,,405722000000,449675000000,0.02466,-1258000000
378110,Charter Communications,CHTR,US16119P1084,339.35,48439221808,1185181.04762,8678000000,602000000,10726000000,131024000000,148611000000,0.0852,-1648000000
260533,CHENIERE ENERGY INC,LNG,US16411R2085,180.79,40907920800,1379665.66667,1208000000,2442000000,4236000000,33680000000,42278000000,0.19864,-1159000000
248396,CHEVRON CORP,CVX,US1667641005,143.41,262285003175,7354641.95238,18374000000,4008000000,34027000000,100381000000,260644000000,0.14331,-8394000000
951287,"Chewy, Inc.",CHWY,US16679L1098,32.07,13417613845,6310940.95238,109476000,694950000,2055178000,2615742000,3102491000,-0.29607,234778000
80874,CHIPOTLE MEXICAN GRILL INC,CMG,US1696561059,58.5,80114346000,17435883.11905,330843000,806528000,1043156000,5208015000,8919835000,0.25392,-454004000
378112,Chubb Limited,CB,CH0044328745,290.78,117455990747,1467153.78571,328000000,2568000000,,173976000000,238551000000,,-567000000
378113,Church & Dwight,CHD,US1713401024,103.82,25416689251,1473657.7381,231700000,491700000,1149700000,4456600000,8762100000,0.16716,-231400000
49697,CIENA CORP,CIEN,US1717793095,56.44,8151471168,1655568.30952,136365000,1101175000,854994000,2684258000,5575130000,0.02313,-4220000
378114,CIGNA Corp.,CI,US1255231003,356.23,99583667955,1258028.85714,3010000000,6788000000,,113919000000,155446000000,0.11647,-123000000
331923,CINTAS CORP,CTAS,US1729081059,203.77,82134740279,1446084.07143,280866000,342015000,1828519000,4852445000,9168817000,0.2978,-402043000
82202,"CISCO SYSTEMS, INC.",CSCO,US17275R1023,50.61,201971087924,18780542.30952,2507000000,17854000000,56795000000,78956000000,124413000000,0.15733,-1914000000
89126,CITIGROUP INC,C,US1729674242,59.29,113113178890,12976415.52381,4524000000,34706000000,,2196542000000,2405686000000,-0.01034,-3090000000
378202,Citizens Financial Group,CFG,US1746101054,40.54,18174100892,5351523.02381,493000000,1191000000,,196069000000,219938000000,0.0133,-319000000
1071164,"Civitas Resources, Inc.",CIVI,US17888H1032,54.49,5453979787,1116689.59524,1436729000,52070000,1971773000,8449095000,15084023000,0.20338,-185096000
754906,CLEVELAND-CLIFFS INC.,CLF,US1858991011,11.81,5527557490,12497827.85714,942000000,110000000,3318000000,8799000000,16928000000,0.12197,-36000000
218764,CLOROX CO /DE/,CLX,US1890541097,164.69,20398757846,1322011.69048,235000000,202000000,1574000000,5259000000,5751000000,0.1911,-106000000
961018,"Cloudflare, Inc.",NET,US18915M1071,79.11,27032103287,2192926.21429,130405000,1757397000,555225000,2035128000,2916673000,-0.11384,-6723000
378116,CME Group Inc.,CME,US12572Q1058,218.18,78330983600,1896677.38095,344100000,1911600000,86974000000,95743500000,123379300000,0.12897,-945000000
378117,CMS Energy,CMS,US1258961002,70.26,20988730314,2071787.28571,1170000000,699000000,2528000000,25814000000,34355000000,0.04126,-176000000
82117,COCA COLA CO,KO,US1912161007,71.8,309448533170,14108122.04762,1092000000,18993000000,29263000000,73791000000,101202000000,0.12393,-2264000000
18591358,Coca-Cola Europacific Partners PLC,CCEP,GB00BDCPN049,81.03,37209042283,1518113.69048,11000000,1816222642,5292446544,16097957615,22940692692,,
710555,COGNEX CORP,CGNX,US1924221039,38.96,6681672532,1283716.78571,28030000,289075000,168783000,497354000,2004084000,0.02825,-22111000
128066,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,US1924461023,76.22,37779050931,3458532.35714,548000000,2205000000,2946000000,4682000000,18580000000,0.21019,-730000000
1202161,"Coinbase Global, Inc.",COIN,US19260Q1076,162.45,40365205127,7427373.7619,125280000,276646725000,274353719000,278588404000,286959173000,0.08697,-61134000
255327,COLGATE PALMOLIVE CO,CL,US1941621039,104.56,85434631881,4121841.2619,601000000,1110000000,5350000000,15998000000,16480000000,0.48791,-918000000
6481027,"Columbia Banking System, Inc.",COLB,US1972361026,24.88,5211894769,1835912.78571,158261000,2068831000,,52877852000,52047483000,0.01171,-167598000
106366,COMCAST CORP,CMCSA,US20030N1019,39.28,152111863751,17914609.14286,14112000000,6065000000,35342000000,178615000000,262555000000,0.11583,-5022000000
378118,Comerica Inc.,CMA,US2003401070,58.52,7763842314,1842858.35714,101000000,719000000,,73436000000,79597000000,0.01422,-187000000
18866275,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBS,US20441A1025,17.56,12002433300,1393218.42857,,,,,,,
326285,CONAGRA FOODS INC /DE/,CAG,US2058871029,32.56,15540009075,4384924.04762,400900000,77700000,3241800000,12351000000,20862300000,0.06783,-262500000
1334959,"Confluent, Inc.",CFLT,US20717M1036,20.8,6502534771,4538262.97619,17685000,1931181000,509612000,1654602000,2528466000,-0.20498,-38628000
378120,ConocoPhillips,COP,US20825C1045,108.29,125751739759,6085433.61905,8863000000,6017000000,10324000000,46249000000,95994000000,0.22233,-5146000000
378121,Consolidated Edison,ED,US2091151041,104.54,36186228288,1763564.35714,2088000000,1500000000,6216000000,46360000000,67920000000,,-389000000
256994,"CONSTELLATION BRANDS, INC.",STZ,US21036P1084,252.86,46075636400,1033569.85714,434200000,73800000,3122200000,15488200000,26060100000,0.09994,-393800000
1867900,Constellation Energy Corp,CEG,US21037T1097,201.23,62922423568,3194904.80952,2683000000,311000000,5801000000,39559000000,51340000000,0.04402,-706000000
186450,COOPER COMPANIES INC,COO,US2166484020,109.83,21873259877,1101689.16667,376800000,109700000,969500000,4182800000,12108000000,0.03371,-160800000
287342,COPART INC,CPRT,US2172041061,50.72,48807734424,4343490,183542000,3090329000,630874000,814446000,8010632000,0.18621,-341912000
1298294,"Core & Main, Inc.",CNM,US21874C1027,42.72,8592313415,2826647.35714,174000000,13000000,1012000000,4378000000,6098000000,0.21472,-132000000
10383312,"Corebridge Financial, Inc.",CRBG,US21871X1090,26.95,15954763852,3110497.40476,312000000,15168000000,256747000000,373202000000,385588000000,,-84000000
261761,CORNING INC /NY,GLW,US2193501051,43.3,37051845549,5714087.66667,1359000000,1419000000,4526000000,16252000000,27179000000,0.04173,-146000000
1169062,"Corteva, Inc.",CTVA,US22052L1044,57.04,39485768880,2819353.38095,1237000000,1959000000,8953000000,16043000000,41464000000,0.07272,-167000000
486790,COSTAR GROUP INC,CSGP,US22160N1090,75.73,31035429899,2171009.38095,127910000,4919500000,561700000,1671600000,9067300000,-0.00461,-87735000
217867,COSTCO WHOLESALE CORP /NEW,COST,US22160K1051,897.27,397791216984,1789387.11905,2219000000,11499000000,35361000000,46140000000,67911000000,0.31275,-2417000000
378102,Coterra Energy Inc.,CTRA,US1270971039,23.01,17010705002,5808297.7619,1756000000,1320000000,1665000000,7727000000,20764000000,0.15909,-393000000
376164,COTY INC.,COTY,US2220702037,9.26,8036246663,4073852,193788317,300800000,2601800000,7834800000,12082500000,0.0378,-95100000
10383300,"Coupang, Inc.",CPNG,US22266T1097,24.24,43479394438,7085682.30952,345577000,5536000000,7858000000,11248000000,15195000000,-0.04539,809990000
